Sponsors,State,Number,Count
Casey Murdock,Oklahoma,"[""SB131'"", ""'SB30""]",2
Cathrynn Brown,New Mexico,['HM57'],1
Cathy McMorris Rodgers,US,['HB5'],1
Cecil Bell,Texas,"[""HB1686'"", ""'HB23""]",2
Celeste Cairns,North Carolina,['H43'],1
Chad Puryear,Arkansas,['SB294'],1
Charlene Fite,Arkansas,['SB294'],1
Charles Anderson,Texas,"[""HB1686'"", ""'HB1952'"", ""'HB23'"", ""'HB3164'"", ""'HB888""]",5
Charles Creighton,Texas,"[""SB649'"", ""'SB15""]",2
Charles Cunningham,Texas,"[""HB1686'"", ""'HB23""]",2
Charles Fleischmann,US,['HB734'],1
Charles Horst,West Virginia,"[""HB3176'"", ""'HB3503""]",2
Charles McCall,Oklahoma,['HB1947'],1
Charles Otto,Maryland,['HB359'],1
Charles Perry,Texas,"[""SB1029'"", ""'SB162'"", ""'SB249'"", ""'SB250'"", ""'SB649'"", ""'SB14'"", ""'SB15""]",7
Charles Schwertner,Texas,['SB15'],1
Charles Scott,Wyoming,['SF0111'],1
Charles Wilson,Vermont,['H0183'],1
Charles Younger,Mississippi,['SB2760'],1
Charley Thomson,Iowa,['HF2'],1
Charlie Baum,Tennessee,"[""HB0001'"", ""'HB0009""]",2
Charlie Geren,Texas,['HB1686'],1
Charlie Shepherd,Idaho,['H0071'],1
Cheri Steinmetz,Wyoming,"[""SF0111'"", ""'SF0159'"", ""'SF0133""]",3
Cherielynn Westrich,Iowa,"[""SF83'"", ""'SF110'"", ""'SF335""]",3
Choice & Innovation Subcommittee,Florida,['H1223'],1
Chris Brown,Mississippi,['HB1125'],1
Chris Caughman,Mississippi,['SB2760'],1
Chris Cournoyer,Iowa,['SF83'],1
Chris Freeland,Kentucky,"[""HB177'"", ""'HB30""]",2
Chris Fugate,Kentucky,"[""HB470'"", ""'HB173'"", ""'HB177'"", ""'HB30""]",4
Chris Head,Virginia,['HB1387'],1
Chris Hurt,Tennessee,['HB0571'],1
Chris Jeter,Indiana,"[""HB1407'"", ""'HB1608""]",2
Chris Karr,South Dakota,"[""HB1116'"", ""'HB1125'"", ""'HB1080""]",3
Chris McDaniel,Mississippi,"[""SB2760'"", ""'SB2764'"", ""'SB2861'"", ""'SB2864""]",4
Chris Phillips,West Virginia,"[""HB3097'"", ""'HB3503""]",2
Chris Pritt,West Virginia,"[""HB2923'"", ""'HB2972'"", ""'HB2998'"", ""'HB3001'"", ""'HB3503""]",5
Chris Runion,Virginia,"[""HB1387'"", ""'HB2432""]",2
Chris Sneed,Oklahoma,['HB1466'],1
Chris Todd,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0030'"", ""'HB0878'"", ""'HB1414""]",5
Chris Tomlinson,Maryland,['HB359'],1
Christine Goodwin,Oregon,"[""HB2186'"", ""'HB2477'"", ""'HB3137'"", ""'SB897""]",4
Christopher Adams,Maryland,['HB359'],1
Christopher Bouchat,Maryland,['HB359'],1
Christopher DePhillips,New Jersey,"[""A1418'"", ""'A3883""]",2
