Sponsors,State,Number,Count
Ted Cruz,US,"[""SB457'"", ""'SB635'"", ""'SR53""]",3
Teresa Reilly,Maryland,['HB359'],1
Terri Leo-Wilson,Texas,"[""HB1155'"", ""'HB122'"", ""'HB1541'"", ""'HB1686'"", ""'HB1752'"", ""'HB23'"", ""'HB3164'"", ""'HB319'"", ""'HB631'"", ""'HB888""]",10
Terri Williams,Vermont,['H0183'],1
Terry Baker,Maryland,['HB359'],1
Terry O'Donnell,Oklahoma,"[""HB2546'"", ""'HB1011""]",2
Terry Rice,Arkansas,['SB43'],1
Terry Roy,New Hampshire,['HB619'],1
Terry Wilson,Texas,"[""HB122'"", ""'HB1686'"", ""'HB1752'"", ""'HB23'"", ""'HB3164'"", ""'HB319'"", ""'HB41""]",7
Thaddeus Claggett,Ohio,['HB68'],1
Theresa Manzella,Montana,['SB337'],1
Thomas Beach,South Carolina,"[""H3197'"", ""'H3485'"", ""'H3551'"", ""'H3551'"", ""'H3611'"", ""'H3616'"", ""'H3730""]",7
Thomas Davis,South Carolina,"[""S0234'"", ""'S0424""]",2
Thomas Gerhold,Iowa,['HF2'],1
Thomas Hall,Ohio,"[""HB68'"", ""'HB6""]",2
Thomas Huff,Kentucky,"[""HB173'"", ""'HB177'"", ""'HB30""]",3
Thomas Jeneary,Iowa,['HF2'],1
Thomas Jones,Pennsylvania,['HB138'],1
Thomas McInnis,North Carolina,['S49'],1
Thomas McKay,Alaska,['HB27'],1
Thomas Patton,Ohio,['HB68'],1
Thomas Pope,South Carolina,['H3485'],1
Thomas Wright,Virginia,['HB1387'],1
Tim Barhorst,Ohio,"[""HB68'"", ""'HB6""]",2
Tim French,Wyoming,"[""SF0144'"", ""'SF0172'"", ""'SF0133""]",3
Tim Hicks,Tennessee,['HB0001'],1
Tim Rudd,Tennessee,"[""HB0001'"", ""'HB1215'"", ""'HB0878'"", ""'HB0571""]",4
Tim Salazar,Wyoming,"[""SF0172'"", ""'SF0133""]",2
Tim Scott,US,['SB200'],1
Tim Walberg,US,"[""HB734'"", ""'HB736'"", ""'HB5""]",3
Timmy Truett,Kentucky,"[""HB470'"", ""'HB177'"", ""'HB30""]",3
Timothy Lang,New Hampshire,['SB272'],1
Timothy Moffitt,North Carolina,['S49'],1
Timothy Wesco,Indiana,"[""SB0480'"", ""'HB1346""]",2
Tina Mulally,South Dakota,"[""HB1116'"", ""'HB1125'"", ""'HB1080""]",3
Todd Beard,North Dakota,"[""HB1526'"", ""'HB1522""]",2
Todd Johnson,North Carolina,['S49'],1
Todd Jones,Georgia,['HB653'],1
Todd Kirby,West Virginia,"[""HB2007'"", ""'HB2998'"", ""'HB3001'"", ""'HB3503""]",4
Todd Longanacre,West Virginia,"[""HB3176'"", ""'HB3183'"", ""'HB3503""]",3
Todd Morgan,Maryland,['HB359'],1
Todd Warner,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0030""]",3
Todd Weiler,Utah,['SB0100'],1
Tom Cotton,US,['SB635'],1
Tom Craddick,Texas,['HB23'],1
Tom Emmer,US,['HB5'],1
Tom Fast,West Virginia,['HB3097'],1
Tom Gann,Oklahoma,"[""HB2186'"", ""'HB2177'"", ""'HB1377""]",3
Tom Hartnett,South Carolina,['H3197'],1
Tom Leatherwood,Tennessee,"[""HB0001'"", ""'HB0009""]",2
Tom McClintock,US,"[""HB734'"", ""'HB5""]",2
Tom Moore,Iowa,['HF2'],1
Tom Oliverson,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB319""]",4
Tom Pischke,South Dakota,"[""HB1116'"", ""'HB1125'"", ""'HB1208'"", ""'HCR6008'"", ""'HB1080""]",5
Tom Smith,Kentucky,"[""HB177'"", ""'HB30""]",2
Tom Tiffany,US,"[""HB734'"", ""'HB5""]",2
Tom Walters,Wyoming,['SF0111'],1
Tom Woods,Oklahoma,"[""SB129'"", ""'SB613""]",2
Tom Young,Ohio,"[""HB68'"", ""'HB6""]",2
Tomi Strock,Wyoming,['SF0111'],1
Tommy Tuberville,US,['SB435'],1
Toni Hasenbeck,Oklahoma,"[""HB1449'"", ""'SB408'"", ""'SB613""]",3
Tony Furman,Arkansas,['SB294'],1
Tony Luetkemeyer,Missouri,"[""SB39'"", ""'SB49'"", ""'SB29""]",3
Tony Randolph,South Dakota,"[""HB1116'"", ""'HB1125'"", ""'HB1080""]",3
Tony Tinderholt,Texas,"[""HB1686'"", ""'HB23'"", ""'HB4754""]",3
Tracey Mann,US,['HB5'],1
Tracy Cramer,Oregon,['HB2477'],1
Tracy Richardson,Ohio,['HB6'],1
Travis Clardy,Texas,"[""HB1686'"", ""'HB23""]",2
Travis Fitzwater,Missouri,"[""SB39'"", ""'SB49""]",2
Travis Moore,South Carolina,['H3485'],1
Trent Ashby,Texas,"[""HB1686'"", ""'HB23""]",2
Trent Kelly,US,['HB5'],1
Trish Ladner,South Dakota,['HB1080'],1
Troy Balderson,US,"[""HB734'"", ""'HB5""]",2
Troy McKeown,Wyoming,"[""SF0111'"", ""'SF0144'"", ""'SF0172'"", ""'SF0133""]",4
Troy Nehls,US,"[""HB1399'"", ""'HB5'"", ""'HB985""]",3
Ty Winter,Colorado,['HB1098'],1
Tyler Dees,Arkansas,"[""SB294'"", ""'SB43""]",2
Tyler Johnson,Indiana,['SB0480'],1
Tyler McCaughn,Mississippi,['SB2760'],1
Val Guest,South Carolina,"[""H3551'"", ""'H3551""]",2
Valoree Swanson,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB2862'"", ""'HB3147'"", ""'HB3164'"", ""'HB3213""]",7
Vern Buchanan,US,['HB5'],1
Vickie Sawyer,North Carolina,['S49'],1
Vicky Steiner,North Dakota,"[""HB1332'"", ""'HB1205'"", ""'HB1297'"", ""'HB1473'"", ""'HB1474'"", ""'HB1489'"", ""'HCR3010""]",7
Vince Deeds,West Virginia,['SB252'],1
Vince Mangold,Mississippi,['HB1127'],1
Virginia Foxx,US,"[""HB734'"", ""'HR115'"", ""'HB5""]",3
Virgle Osborne,Oregon,['SB897'],1
Vito Barbieri,Idaho,['H0071'],1
Wade Andrews,Arkansas,['SB294'],1
Wade Williams,Kentucky,"[""HB470'"", ""'HB177'"", ""'HB30""]",3
Walker Thomas,Kentucky,"[""HB470'"", ""'HB173'"", ""'HB177'"", ""'HB30""]",4
Wallace Jordan,South Carolina,['H3728'],1
Walter Hudson,Minnesota,"[""HF1903'"", ""'HF551""]",2
Walter Michel,Mississippi,['SB2760'],1
Warren Daniel,North Carolina,['S49'],1
Warren Davidson,US,['HB734'],1
Warren Hamilton,Oklahoma,"[""SB129'"", ""'SB408'"", ""'SB613'"", ""'SB131'"", ""'SB30'"", ""'SB345""]",6
Wayne Clark,West Virginia,['HB2007'],1
Wayne Harper,Utah,['HB0132'],1
Wayne Hartman,Maryland,['HB359'],1
Wayne Long,Arkansas,"[""HB1156'"", ""'SB43'"", ""'HB1468'"", ""'HB1615""]",4
Wendell Walker,Virginia,"[""HB1387'"", ""'HB2432""]",2
Wendy Davis Schuler,Wyoming,"[""HB0187'"", ""'SF0111'"", ""'SF0133""]",3
Werner Reschke,Oregon,['SB897'],1
Wesley Hunt,US,"[""HB734'"", ""'HB5""]",2
Weston Newton,South Carolina,['H3728'],1
William Arnold,Mississippi,"[""HB1127'"", ""'HB1125""]",2
William Chumley,South Carolina,"[""H3197'"", ""'H3485'"", ""'H3551'"", ""'H3551""]",4
William Eigel,Missouri,"[""SB49'"", ""'SB281'"", ""'SB497'"", ""'SB693""]",4
William Gannon,New Hampshire,['SB272'],1
William Henderson,Wyoming,['SF0133'],1
William Herbkersman,South Carolina,['H3728'],1
William Hewitt,South Carolina,['H3728'],1
William Hixon,South Carolina,['H3485'],1
William Lamberth,Tennessee,"[""HB0001'"", ""'HB0239'"", ""'HB1269""]",3
William Metcalf,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB3164'"", ""'HB631'"", ""'HB888""]",6
William Ridenour,West Virginia,['HB3183'],1
William Shorma,South Dakota,['HB1116'],1
William Slater,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0030'"", ""'HB0878""]",4
William Timmons,US,"[""HB734'"", ""'HB736""]",2
William Valentine,Maryland,['HB359'],1
William Wivell,Maryland,['HB359'],1
Wren Williams,Virginia,"[""HB1387'"", ""'HB1707'"", ""'HB2432""]",3
Zach Payne,Indiana,['HB1118'],1
Zachary Nunn,US,['HB5'],1
Zack Gramlich,Arkansas,['SB294'],1
committee for review of Administrative Rules,Wisconsin,['SB4'],1
