,State,Abbreviation,Number,URL
166,New Hampshire,NH,HB417,https://legiscan.com/NH/bill/HB417/2023
167,New Hampshire,NH,SB272,https://legiscan.com/NH/bill/SB272/2023
168,New Jersey,NJ,A1418,https://legiscan.com/NJ/bill/A1418/2022
169,New Jersey,NJ,A1630,https://legiscan.com/NJ/bill/A1630/2022
170,New Jersey,NJ,A3883,https://legiscan.com/NJ/bill/A3883/2022
171,New Jersey,NJ,A4042,https://legiscan.com/NJ/bill/A4042/2022
172,New Jersey,NJ,S2648,https://legiscan.com/NJ/bill/S2648/2022
173,New Jersey,NJ,S3076,https://legiscan.com/NJ/bill/S3076/2022
174,New Jersey,NJ,S585,https://legiscan.com/NJ/bill/S585/2022
175,New Jersey,NJ,S589,https://legiscan.com/NJ/bill/S589/2022
176,New Mexico,NM,HB394,https://legiscan.com/NM/bill/HB394/2023
177,New Mexico,NM,HB490,https://legiscan.com/NM/bill/HB490/2023
178,New Mexico,NM,HB492,https://legiscan.com/NM/bill/HB492/2023
179,New Mexico,NM,HM57,https://legiscan.com/NM/bill/HM57/2023
180,North Carolina,NC,H43,https://legiscan.com/NC/bill/H43/2023
181,North Carolina,NC,S49,https://legiscan.com/NC/bill/S49/2023
182,North Dakota,ND,HB1139,https://legiscan.com/ND/bill/HB1139/2023
183,North Dakota,ND,HB1205,https://legiscan.com/ND/bill/HB1205/2023
184,North Dakota,ND,HB1249,https://legiscan.com/ND/bill/HB1249/2023
185,North Dakota,ND,HB1254,https://legiscan.com/ND/bill/HB1254/2023
186,North Dakota,ND,HB1297,https://legiscan.com/ND/bill/HB1297/2023
187,North Dakota,ND,HB1301,https://legiscan.com/ND/bill/HB1301/2023
188,North Dakota,ND,HB1332,https://legiscan.com/ND/bill/HB1332/2023
189,North Dakota,ND,HB1473,https://legiscan.com/ND/bill/HB1473/2023
190,North Dakota,ND,HB1474,https://legiscan.com/ND/bill/HB1474/2023
191,North Dakota,ND,HB1489,https://legiscan.com/ND/bill/HB1489/2023
192,North Dakota,ND,HB1522,https://legiscan.com/ND/bill/HB1522/2023
193,North Dakota,ND,HB1526,https://legiscan.com/ND/bill/HB1526/2023
194,North Dakota,ND,HCR3010,https://legiscan.com/ND/bill/HCR3010/2023
195,North Dakota,ND,SB2199,https://legiscan.com/ND/bill/SB2199/2023
196,North Dakota,ND,SB2199,https://legiscan.com/ND/bill/SB2199/2023
197,North Dakota,ND,SB2231,https://legiscan.com/ND/bill/SB2231/2023
198,Oklahoma,OK,HB1011,https://legiscan.com/OK/bill/HB1011/2023
199,Oklahoma,OK,HB1377,https://legiscan.com/OK/bill/HB1377/2023
200,Oklahoma,OK,HB1466,https://legiscan.com/OK/bill/HB1466/2023
201,Oklahoma,OK,HB1781,https://legiscan.com/OK/bill/HB1781/2023
202,Oklahoma,OK,HB1947,https://legiscan.com/OK/bill/HB1947/2023
203,Oklahoma,OK,HB2177,https://legiscan.com/OK/bill/HB2177/2023
204,Oklahoma,OK,HB2186,https://legiscan.com/OK/bill/HB2186/2023
205,Oklahoma,OK,HB2340,https://legiscan.com/OK/bill/HB2340/2023
206,Oklahoma,OK,HB2546,https://legiscan.com/OK/bill/HB2546/2023
207,Oklahoma,OK,HB2736,https://legiscan.com/OK/bill/HB2736/2023
208,Oklahoma,OK,SB1004,https://legiscan.com/OK/bill/SB1004/2023
209,Oklahoma,OK,SB1007,https://legiscan.com/OK/bill/SB1007/2023
210,Oklahoma,OK,SB1017,https://legiscan.com/OK/bill/SB1017/2023
211,Oklahoma,OK,SB129,https://legiscan.com/OK/bill/SB129/2023
212,Oklahoma,OK,SB131,https://legiscan.com/OK/bill/SB131/2023
213,Oklahoma,OK,SB250,https://legiscan.com/OK/bill/SB250/2023
214,Oklahoma,OK,SB251,https://legiscan.com/OK/bill/SB251/2023
