,State,Abbreviation,Number,URL,Bill ID,Doc ID,Bill Text
105,Mississippi,MS,HB1489,https://legiscan.com/MS/bill/HB1489/2023,1682663,,
106,Mississippi,MS,HB456,https://legiscan.com/MS/bill/HB456/2023,1657158,,
107,Mississippi,MS,HB509,https://legiscan.com/MS/bill/HB509/2023,1658471,,
108,Mississippi,MS,HB576,https://legiscan.com/MS/bill/HB576/2023,1660114,,
109,Mississippi,MS,SB2076,https://legiscan.com/MS/bill/SB2076/2023,1649395,,
110,Mississippi,MS,SB2760,https://legiscan.com/MS/bill/SB2760/2023,1672562,,
111,Mississippi,MS,SB2763,https://legiscan.com/MS/bill/SB2763/2023,1672706,,
112,Mississippi,MS,SB2764,https://legiscan.com/MS/bill/SB2764/2023,1673066,,
113,Mississippi,MS,SB2765,https://legiscan.com/MS/bill/SB2765/2023,1672927,,
114,Mississippi,MS,SB2770,https://legiscan.com/MS/bill/SB2770/2023,1673057,,
115,Mississippi,MS,SB2773,https://legiscan.com/MS/bill/SB2773/2023,1672862,,
116,Mississippi,MS,SB2820,https://legiscan.com/MS/bill/SB2820/2023,1673713,,
117,Mississippi,MS,SB2861,https://legiscan.com/MS/bill/SB2861/2023,1673757,,
118,Mississippi,MS,SB2864,https://legiscan.com/MS/bill/SB2864/2023,1673543,,
119,Missouri,MO,HB137,https://legiscan.com/MO/bill/HB137/2023,1634716,,
120,Missouri,MO,HB170,https://legiscan.com/MO/bill/HB170/2023,1634841,,
121,Missouri,MO,HB183,https://legiscan.com/MO/bill/HB183/2023,1634572,,
122,Missouri,MO,HB192,https://legiscan.com/MO/bill/HB192/2023,1634595,,
123,Missouri,MO,HB337,https://legiscan.com/MO/bill/HB337/2023,1634768,,
124,Missouri,MO,HB419,https://legiscan.com/MO/bill/HB419/2023,1640339,,
125,Missouri,MO,HB463,https://legiscan.com/MO/bill/HB463/2023,1640281,,
126,Missouri,MO,HB498,https://legiscan.com/MO/bill/HB498/2023,1640345,,
127,Missouri,MO,HB540,https://legiscan.com/MO/bill/HB540/2023,1642575,,
128,Missouri,MO,HB634,https://legiscan.com/MO/bill/HB634/2023,1642886,,
129,Missouri,MO,HB916,https://legiscan.com/MO/bill/HB916/2023,1675866,,
130,Missouri,MO,SB134,https://legiscan.com/MO/bill/SB134/2023,1634983,,
131,Missouri,MO,SB14,https://legiscan.com/MO/bill/SB14/2023,1635044,,
132,Missouri,MO,SB164,https://legiscan.com/MO/bill/SB164/2023,1635148,,
133,Missouri,MO,SB165,https://legiscan.com/MO/bill/SB165/2023,1635152,,
134,Missouri,MO,SB2,https://legiscan.com/MO/bill/SB2/2023,1635118,,
135,Missouri,MO,SB236,https://legiscan.com/MO/bill/SB236/2023,1634951,,
136,Missouri,MO,SB281,https://legiscan.com/MO/bill/SB281/2023,1635035,,
137,Missouri,MO,SB29,https://legiscan.com/MO/bill/SB29/2023,1635010,,
138,Missouri,MO,SB377,https://legiscan.com/MO/bill/SB377/2023,1640406,,
139,Missouri,MO,SB39,https://legiscan.com/MO/bill/SB39/2023,1635120,,
140,Missouri,MO,SB390,https://legiscan.com/MO/bill/SB390/2023,1640400,,
141,Missouri,MO,SB42,https://legiscan.com/MO/bill/SB42/2023,1634897,,
142,Missouri,MO,SB429,https://legiscan.com/MO/bill/SB429/2023,1642746,,
143,Missouri,MO,SB430,https://legiscan.com/MO/bill/SB430/2023,1642725,,
144,Missouri,MO,SB436,https://legiscan.com/MO/bill/SB436/2023,1642710,,
145,Missouri,MO,SB48,https://legiscan.com/MO/bill/SB48/2023,1634938,,
146,Missouri,MO,SB49,https://legiscan.com/MO/bill/SB49/2023,1635057,,
147,Missouri,MO,SB497,https://legiscan.com/MO/bill/SB497/2023,1663442,,
148,Missouri,MO,SB598,https://legiscan.com/MO/bill/SB598/2023,1696931,,
149,Missouri,MO,SB87,https://legiscan.com/MO/bill/SB87/2023,1635076,,
150,Missouri,MO,HB1157,https://legiscan.com/MO/bill/HB1157/2023,1706696,,
151,Missouri,MO,HB1258,https://legiscan.com/MO/bill/HB1258/2023,1719285,,
152,Montana,MT,HB234,https://legiscan.com/MT/bill/HB234/2023,1655847,,
153,Montana,MT,HB303,https://legiscan.com/MT/bill/HB303/2023,1674726,,
154,Montana,MT,HB359,https://legiscan.com/MT/bill/HB359/2023,1685019,,
155,Montana,MT,HB361,https://legiscan.com/MT/bill/HB361/2023,1685027,,
156,Montana,MT,SB99,https://legiscan.com/MT/bill/SB99/2023,1641379,,
157,Montana,MT,SB413,https://legiscan.com/MT/bill/SB413/2023,1715495,,
158,Montana,MT,SB458,https://legiscan.com/MT/bill/SB458/2023,1717719,,
159,Nebraska,NE,LB371,https://legiscan.com/NE/bill/LB371/2023,1656195,,
160,Nebraska,NE,LB574,https://legiscan.com/NE/bill/LB574/2023,1662540,,
161,Nebraska,NE,LB575,https://legiscan.com/NE/bill/LB575/2023,1662403,,
162,Nebraska,NE,LB743,https://legiscan.com/NE/bill/LB743/2023,1665462,,
163,Nebraska,NE,LB810,https://legiscan.com/NE/bill/LB810/2023,1665899,,
164,New Hampshire,NH,HB396,https://legiscan.com/NH/bill/HB396/2023,1646387,,
165,New Hampshire,NH,HB619,https://legiscan.com/NH/bill/HB619/2023,1654313,,
166,New Hampshire,NH,HB417,https://legiscan.com/NH/bill/HB417/2023,1647575,,
167,New Hampshire,NH,SB272,https://legiscan.com/NH/bill/SB272/2023,1713421,,
168,New Jersey,NJ,A1418,https://legiscan.com/NJ/bill/A1418/2022,1556738,,
169,New Jersey,NJ,A1630,https://legiscan.com/NJ/bill/A1630/2022,1556249,,
170,New Jersey,NJ,A3883,https://legiscan.com/NJ/bill/A3883/2022,1618257,,
171,New Jersey,NJ,A4042,https://legiscan.com/NJ/bill/A4042/2022,1620334,,
172,New Jersey,NJ,S2648,https://legiscan.com/NJ/bill/S2648/2022,1620141,,
173,New Jersey,NJ,S3076,https://legiscan.com/NJ/bill/S3076/2022,1629544,,
174,New Jersey,NJ,S585,https://legiscan.com/NJ/bill/S585/2022,1556910,,
175,New Jersey,NJ,S589,https://legiscan.com/NJ/bill/S589/2022,1555547,,
176,New Mexico,NM,HB394,https://legiscan.com/NM/bill/HB394/2023,1705756,,
177,New Mexico,NM,HB490,https://legiscan.com/NM/bill/HB490/2023,1711574,,
178,New Mexico,NM,HB492,https://legiscan.com/NM/bill/HB492/2023,1711311,,
179,New Mexico,NM,HM57,https://legiscan.com/NM/bill/HM57/2023,1714178,,
180,North Carolina,NC,H43,https://legiscan.com/NC/bill/H43/2023,1690331,,
181,North Carolina,NC,S49,https://legiscan.com/NC/bill/S49/2023,1688121,,
182,North Dakota,ND,HB1139,https://legiscan.com/ND/bill/HB1139/2023,1644388,,
183,North Dakota,ND,HB1205,https://legiscan.com/ND/bill/HB1205/2023,1649131,,
184,North Dakota,ND,HB1249,https://legiscan.com/ND/bill/HB1249/2023,1650901,,
185,North Dakota,ND,HB1254,https://legiscan.com/ND/bill/HB1254/2023,1651568,,
186,North Dakota,ND,HB1297,https://legiscan.com/ND/bill/HB1297/2023,1655021,,
187,North Dakota,ND,HB1301,https://legiscan.com/ND/bill/HB1301/2023,1655211,,
188,North Dakota,ND,HB1332,https://legiscan.com/ND/bill/HB1332/2023,1655053,,
189,North Dakota,ND,HB1473,https://legiscan.com/ND/bill/HB1473/2023,1667233,,
190,North Dakota,ND,HB1474,https://legiscan.com/ND/bill/HB1474/2023,1667317,,
191,North Dakota,ND,HB1489,https://legiscan.com/ND/bill/HB1489/2023,1666321,,
192,North Dakota,ND,HB1522,https://legiscan.com/ND/bill/HB1522/2023,1667150,,
193,North Dakota,ND,HB1526,https://legiscan.com/ND/bill/HB1526/2023,1666310,,
194,North Dakota,ND,HCR3010,https://legiscan.com/ND/bill/HCR3010/2023,1683622,,
195,North Dakota,ND,SB2199,https://legiscan.com/ND/bill/SB2199/2023,1650518,,
196,North Dakota,ND,SB2199,https://legiscan.com/ND/bill/SB2199/2023,1650518,,
197,North Dakota,ND,SB2231,https://legiscan.com/ND/bill/SB2231/2023,1656291,,
198,Oklahoma,OK,HB1011,https://legiscan.com/OK/bill/HB1011/2023,1634447,,
199,Oklahoma,OK,HB1377,https://legiscan.com/OK/bill/HB1377/2023,1663548,,
200,Oklahoma,OK,HB1466,https://legiscan.com/OK/bill/HB1466/2023,1665918,,
201,Oklahoma,OK,HB1781,https://legiscan.com/OK/bill/HB1781/2023,1667200,,
202,Oklahoma,OK,HB1947,https://legiscan.com/OK/bill/HB1947/2023,1668711,,
203,Oklahoma,OK,HB2177,https://legiscan.com/OK/bill/HB2177/2023,1668929,,
204,Oklahoma,OK,HB2186,https://legiscan.com/OK/bill/HB2186/2023,1669355,,
205,Oklahoma,OK,HB2340,https://legiscan.com/OK/bill/HB2340/2023,1670840,,
206,Oklahoma,OK,HB2546,https://legiscan.com/OK/bill/HB2546/2023,1670293,,
207,Oklahoma,OK,HB2736,https://legiscan.com/OK/bill/HB2736/2023,1671157,,
208,Oklahoma,OK,SB1004,https://legiscan.com/OK/bill/SB1004/2023,1669667,,
209,Oklahoma,OK,SB1007,https://legiscan.com/OK/bill/SB1007/2023,1668811,,
210,Oklahoma,OK,SB1017,https://legiscan.com/OK/bill/SB1017/2023,1670149,,
211,Oklahoma,OK,SB129,https://legiscan.com/OK/bill/SB129/2023,1643087,,
212,Oklahoma,OK,SB131,https://legiscan.com/OK/bill/SB131/2023,1642970,,
213,Oklahoma,OK,SB250,https://legiscan.com/OK/bill/SB250/2023,1650616,,
214,Oklahoma,OK,SB251,https://legiscan.com/OK/bill/SB251/2023,1651148,,
215,Oklahoma,OK,SB252,https://legiscan.com/OK/bill/SB252/2023,1650695,,
216,Oklahoma,OK,SB30,https://legiscan.com/OK/bill/SB30/2023,1638456,,
217,Oklahoma,OK,SB345,https://legiscan.com/OK/bill/SB345/2023,1659340,,
218,Oklahoma,OK,SB408,https://legiscan.com/OK/bill/SB408/2023,1659858,,
