,State,Abbreviation,Number,URL,Bill ID,Doc ID,Bill Text
165,New Hampshire,NH,HB619,https://legiscan.com/NH/bill/HB619/2023,1654313,2637539.0,
166,New Hampshire,NH,HB417,https://legiscan.com/NH/bill/HB417/2023,1647575,2631205.0,
167,New Hampshire,NH,SB272,https://legiscan.com/NH/bill/SB272/2023,1713421,2706779.0,
168,New Jersey,NJ,A1418,https://legiscan.com/NJ/bill/A1418/2022,1556738,2476192.0,
169,New Jersey,NJ,A1630,https://legiscan.com/NJ/bill/A1630/2022,1556249,2475723.0,
170,New Jersey,NJ,A3883,https://legiscan.com/NJ/bill/A3883/2022,1618257,2582134.0,
171,New Jersey,NJ,A4042,https://legiscan.com/NJ/bill/A4042/2022,1620334,2585341.0,
172,New Jersey,NJ,S2648,https://legiscan.com/NJ/bill/S2648/2022,1620141,2585072.0,
173,New Jersey,NJ,S3076,https://legiscan.com/NJ/bill/S3076/2022,1629544,2608596.0,
174,New Jersey,NJ,S585,https://legiscan.com/NJ/bill/S585/2022,1556910,2476357.0,
175,New Jersey,NJ,S589,https://legiscan.com/NJ/bill/S589/2022,1555547,2475045.0,
176,New Mexico,NM,HB394,https://legiscan.com/NM/bill/HB394/2023,1705756,2696257.0,
177,New Mexico,NM,HB490,https://legiscan.com/NM/bill/HB490/2023,1711574,2704087.0,
178,New Mexico,NM,HB492,https://legiscan.com/NM/bill/HB492/2023,1711311,2703822.0,
179,New Mexico,NM,HM57,https://legiscan.com/NM/bill/HM57/2023,1714178,2707664.0,
180,North Carolina,NC,H43,https://legiscan.com/NC/bill/H43/2023,1690331,2675354.0,
181,North Carolina,NC,S49,https://legiscan.com/NC/bill/S49/2023,1688121,2672469.0,
182,North Dakota,ND,HB1139,https://legiscan.com/ND/bill/HB1139/2023,1644388,2624571.0,
183,North Dakota,ND,HB1205,https://legiscan.com/ND/bill/HB1205/2023,1649131,2629181.0,
184,North Dakota,ND,HB1249,https://legiscan.com/ND/bill/HB1249/2023,1650901,2630764.0,
185,North Dakota,ND,HB1254,https://legiscan.com/ND/bill/HB1254/2023,1651568,2631565.0,
186,North Dakota,ND,HB1297,https://legiscan.com/ND/bill/HB1297/2023,1655021,2635516.0,
187,North Dakota,ND,HB1301,https://legiscan.com/ND/bill/HB1301/2023,1655211,2635707.0,
188,North Dakota,ND,HB1332,https://legiscan.com/ND/bill/HB1332/2023,1655053,2635547.0,
189,North Dakota,ND,HB1473,https://legiscan.com/ND/bill/HB1473/2023,1667233,2648953.0,
190,North Dakota,ND,HB1474,https://legiscan.com/ND/bill/HB1474/2023,1667317,2649028.0,
191,North Dakota,ND,HB1489,https://legiscan.com/ND/bill/HB1489/2023,1666321,2648162.0,
192,North Dakota,ND,HB1522,https://legiscan.com/ND/bill/HB1522/2023,1667150,2648880.0,
193,North Dakota,ND,HB1526,https://legiscan.com/ND/bill/HB1526/2023,1666310,2648154.0,
194,North Dakota,ND,HCR3010,https://legiscan.com/ND/bill/HCR3010/2023,1683622,2666618.0,
195,North Dakota,ND,SB2199,https://legiscan.com/ND/bill/SB2199/2023,1650518,2630511.0,
196,North Dakota,ND,SB2199,https://legiscan.com/ND/bill/SB2199/2023,1650518,2630511.0,
197,North Dakota,ND,SB2231,https://legiscan.com/ND/bill/SB2231/2023,1656291,2637596.0,
198,Oklahoma,OK,HB1011,https://legiscan.com/OK/bill/HB1011/2023,1634447,2614865.0,
199,Oklahoma,OK,HB1377,https://legiscan.com/OK/bill/HB1377/2023,1663548,2645325.0,
200,Oklahoma,OK,HB1466,https://legiscan.com/OK/bill/HB1466/2023,1665918,2647746.0,
201,Oklahoma,OK,HB1781,https://legiscan.com/OK/bill/HB1781/2023,1667200,2648922.0,
202,Oklahoma,OK,HB1947,https://legiscan.com/OK/bill/HB1947/2023,1668711,2650497.0,
203,Oklahoma,OK,HB2177,https://legiscan.com/OK/bill/HB2177/2023,1668929,2650792.0,
