,State,Abbreviation,Number,URL,Bill ID,Sponsors
65,Iowa,IA,SF335,https://legiscan.com/IA/bill/SF335/2023,1715538,['Cherielynn Westrich']
66,Iowa,IA,SF348,https://legiscan.com/IA/bill/SF348/2023,1716093,['Sandy Salmon']
67,Iowa,IA,HF290,https://legiscan.com/IA/bill/HF290/2023,1706272,['Dean Fisher']
68,Iowa,IA,HF325,https://legiscan.com/IA/bill/HF325/2023,1709280,['Jeff Shipley']
69,Kansas,KS,HB2238,https://legiscan.com/KS/bill/HB2238/2023,1688145,['Education']
70,Kansas,KS,HB2404,https://legiscan.com/KS/bill/HB2404/2023,1703141,['Federal and State Affairs']
71,Kansas,KS,HB2427,https://legiscan.com/KS/bill/HB2427/2023,1710783,['Federal and State Affairs']
72,Kansas,KS,SB12,https://legiscan.com/KS/bill/SB12/2023,1644117,"['Mike Thompson', 'Mark Steffen']"
73,Kansas,KS,SB149,https://legiscan.com/KS/bill/SB149/2023,1693313,['Federal and State Affairs']
74,Kansas,KS,SB180,https://legiscan.com/KS/bill/SB180/2023,1698406,['Public Health and Welfare']
75,Kansas,KS,SB201,https://legiscan.com/KS/bill/SB201/2023,1698684,['Federal and State Affairs']
76,Kansas,KS,SB207,https://legiscan.com/KS/bill/SB207/2023,1700859,['Education']
77,Kansas,KS,SB224,https://legiscan.com/KS/bill/SB224/2023,1702612,['Federal and State Affairs']
78,Kansas,KS,SB233,https://legiscan.com/KS/bill/SB233/2023,1704027,['Federal and State Affairs']
79,Kansas,KS,SB255,https://legiscan.com/KS/bill/SB255/2023,1709030,['Federal and State Affairs']
80,Kansas,KS,HB2436,https://legiscan.com/KS/bill/HB2436/2023,1717961,['Appropriations']
81,Kentucky,KY,HB120,https://legiscan.com/KY/bill/HB120/2023,1644187,"['Savannah Maddox', 'Felicia Rabourn', 'Ryan Dotson']"
82,Kentucky,KY,HB173,https://legiscan.com/KY/bill/HB173/2023,1698754,"['Josh Calloway', 'Candy Massaroni', 'Shane Baker', 'Emily Callaway', 'Jennifer Henson Decker', 'Steven Doan', 'Ryan Dotson', 'Chris Fugate', 'David Hale', 'Mark Hart', 'John Hodgson', 'Thomas Huff', 'Matt Lockett', 'Marianne Proctor', 'Steve Rawlings', 'Nancy Tate', 'Walker Thomas', 'Billy Wesley', 'Susan Tyler Witten']"
