Sponsors,State,Number
David Alcos,Hawaii,['HB291']
David Bullard,Oklahoma,"['HB2186', 'SB129', 'SB408', 'HB2177', 'SB613', 'SB866']"
David Clemens,North Dakota,"['SB2199', 'SB2199', 'HB1139', 'HB1254', 'HB1297']"
David Cook,Texas,"['HB1155', 'HB1686', 'HB23', 'HB3164']"
David Friess,Illinois,['HB1562']
David Hale,Kentucky,"['HB470', 'HB173', 'HB177', 'HB30']"
David Hardin,Oklahoma,['SB613']
David Hawk,Tennessee,"['HB0001', 'HB0009']"
David Kull,South Dakota,['HB1080']
David Kustoff,US,['HB5']
David Love,New Hampshire,['HB619']
David Northrup,Wyoming,['HB0187']
David O'Neal,South Carolina,"['H3485', 'H3551', 'H3551', 'H3616']"
David Ray,Arkansas,['SB294']
David Rouzer,US,['HB5']
David Rowe,Pennsylvania,['HB138']
David Rust,North Dakota,['HB1139']
David Smith,Oregon,"['HB2186', 'SB749', 'SB897']"
David Spiller,Texas,"['HB1155', 'HB122', 'HB1686', 'HB23', 'HB3164', 'HB41', 'HB888', 'HB3902']"
David Valadao,US,['HB5']
David Vaughan,South Carolina,"['H3197', 'H3551', 'H3551']"
David Wallace,Arkansas,"['SB270', 'SB294']"
David Willis,North Carolina,['H43']
David Zimmerman,Pennsylvania,['HB138']
Dawn Keefer,Pennsylvania,['HB138']
Dawn White,Tennessee,['SB0001']
DeAnna Hodges,Arkansas,"['HB1156', 'SB43']"
Dean Black,Florida,"['H0991', 'H1223', 'H1421', 'H1521']"
Dean Davis,Oklahoma,['HB1947']
Dean Fisher,Iowa,"['HF2', 'HF290']"
Dean Jeffries,West Virginia,['HB3097']
Deanna Frazier Gordon,Kentucky,"['HB470', 'HB177']"
Debbie Lesko,US,"['HB734', 'HR115', 'HB1399', 'HB5']"
Debra DeSimone,New Hampshire,['HB396']
Debra Moody,Tennessee,"['HB0001', 'HB0009', 'HB0030', 'HB0878']"
Delia Haak,Arkansas,"['SB294', 'SB43']"
